GEOID,NAME,year,pop_total,median_income,housing_total,housing_owned,median_rent_census,labor_force
36067,"Onondaga County, New York",2018,464242,59225,185624,120348,852,235381
36029,"Erie County, New York",2018,919866,55673,387847,251238,804,472206
36055,"Monroe County, New York",2018,744248,57479,300796,191759,902,390194
42069,"Lackawanna County, Pennsylvania",2018,211454,50875,86628,56308,779,103371
39095,"Lucas County, Ohio",2018,432379,46924,179065,107392,723,216781
36067,"Onondaga County, New York",2019,462872,61359,185324,119871,872,235099
36029,"Erie County, New York",2019,919355,58121,389585,251583,829,472606
36055,"Monroe County, New York",2019,743341,60075,301948,191783,927,389606
42069,"Lackawanna County, Pennsylvania",2019,210652,52821,87161,56028,792,104006
39095,"Lucas County, Ohio",2019,431102,48736,179930,107464,745,215903
36067,"Onondaga County, New York",2021,474621,66012,190353,124179,926,239412
36029,"Erie County, New York",2021,949715,62578,403064,262725,893,491286
36055,"Monroe County, New York",2021,757332,66317,311955,198738,991,394962
42069,"Lackawanna County, Pennsylvania",2021,215529,58366,87217,56921,844,106355
39095,"Lucas County, Ohio",2021,431212,53176,179358,109694,803,216653
36067,"Onondaga County, New York",2022,472637,71479,192785,125899,1002,239949
36029,"Erie County, New York",2022,951232,68014,406547,264980,984,490869
36055,"Monroe County, New York",2022,756406,71450,314727,200332,1085,394251
42069,"Lackawanna County, Pennsylvania",2022,215672,63739,87896,57476,917,107611
39095,"Lucas County, Ohio",2022,430014,57265,181383,111632,879,216270
36067,"Onondaga County, New York",2023,471611,74740,194963,128013,1067,241238
36029,"Erie County, New York",2023,950044,71175,408711,267519,1037,489132
36055,"Monroe County, New York",2023,754068,74409,316506,201032,1126,393043
42069,"Lackawanna County, Pennsylvania",2023,215834,64691,88266,57698,973,106323
39095,"Lucas County, Ohio",2023,428748,60095,182146,112307,911,216171
